緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート,月
34.701176,135.50514,きたの旭ヶ丘学園,きたのあさひがおかがくえん,北区兎我野町3-10,1,北区,06-6361-8344,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-1-kitanoasahigaoka.pdf,保育所,0,0,0,0,0,0,1,,,13301,2
34.710307,135.499789,大阪主婦之会保育園,おおさかしゅふのかいほいくえん,北区豊崎3-1-12,1,北区,06-6372-8028,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-2-syufunokai.pdf,保育所,0,0,0,0,0,0,1,,,13302,2
34.702975,135.482162,大阪市立大淀保育所,おおさかしりつおおよどほいくしょ,北区大淀中4-9-11,1,北区,06-6458-6200,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/01-ooyodo.pdf,保育所,0,0,0,0,13,5,1,,,13101,2
34.702803,135.482157,大阪市立大淀保育所　(夜間）,おおさかしりつおおよどほいくしょやかん,北区大淀中4-9-11,1,北区,06-6458-6200,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/01-ooyodo.pdf,保育所,0,0,0,0,0,0,1,,,13102,2
34.710794,135.515451,鶴満寺保育所,かくまんじほいくしょ,北区長柄中1-1-23,1,北区,06-6353-8618,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-3-kakumanji.pdf,保育所,0,0,0,0,0,0,1,,,13303,2
34.71422,135.498156,中津保育園,なかつほいくえん,北区中津2-7-8-101,1,北区,06-6373-0979,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-4-nakatu.pdf,保育所,1,0,1,0,0,0,1,,,13304,2
34.7174,135.517999,長柄保育園,ながらほいくえん,北区長柄東3-2-3,1,北区,06-6357-1358,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-5-nagara.pdf,保育所,0,1,0,0,0,0,1,,,13306,2
34.701013,135.515542,同心保育園,どうしんほいくえん,北区同心1-5-27,1,北区,06-6881-0651,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-6-doushin.pdf,保育所,0,0,0,0,0,0,1,,,13307,2
34.711262,135.506852,音色つばさ保育園,ねいろつばさほいくえん,北区本庄東1-24-9,1,北区,06-6373-0283,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-7-neirotubosa.pdf,保育所,0,0,0,0,0,1,1,,,13308,2
34.717073,135.504084,さつき保育園,さつきほいくえん,北区本庄西3-13-5,1,北区,06-6374-2537 ,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-8-satuki.pdf,保育所,0,0,0,0,0,0,1,,,13309,2
34.704836,135.483801,クオリスキッズ北梅田保育園,くおりすきっずきたうめだほいくえん,北区大淀中3-9-22,1,北区,06-6345-5350,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-9-kuorisukitaumeda.pdf,保育所,0,0,0,2,1,0,1,,,13311,2
34.699732,135.517902,ちゃいれっく東天満保育園,ちゃいれっくひがしてんまほいくえん,北区同心1-1-26 インポートロッサ第四ビル,1,北区,06-6360-9681,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-10-tyairekkuhigashitenma.pdf,保育所,0,0,0,0,0,1,1,,,13312,2
34.704091,135.487754,マミーズアイ保育園おおさかきた園,まみーずあいほいくえんおおさかきたえん,北区大淀中1-11-9,1,北区,06-6453-4150,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-11-mamizuai.pdf,保育所,0,0,0,0,0,0,1,,,13313,2
34.715918,135.513917,ポポラー大阪長柄園,ぽぽらーおおさかながらえん,北区長柄中３－３－６,1,北区,06-4800-7050,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-12-poporanagara.pdf,保育所,0,0,0,0,0,0,1,,,13314,2
34.713621,135.498682,中津保育園（分園）,なかつほいくえんぶんえん,北区豊崎7－2－2,1,北区,06-6373-0979,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-4-nakatu.pdf,保育所,-,-,,,,,1,,,13305,2
34.694004,135.513568,蓮美幼児学園てんまんぐうナーサリー(分園）,れんびようじがくえんてんまんぐうなーさりー　ぶんえん,北区天満4-9-9 renbi第1ビル1・2階,1,北区,06-6352-4152,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12681/h9-4-renbitanimachi.pdf,保育所,0,0,0,,,,1,,,13315,2
34.709599,135.505199,レイモンド梅田北保育園(分園）,れいもんどうめだきたほいくえんぶんえん,北区中崎3丁目4-22 グレンパーク梅田北1階,1,北区,06-6459-7631,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12683/h11-5-reimondomitejima.pdf,保育所,0,0,0,,,,1,,,13316,2
